TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
15.0,31.0,9.0,22.0,9.0,Beehive#3-30
16.0,32.0,8.0,23.0,7.0,Beehive#3-30
13.0,33.0,8.0,23.0,8.0,Beehive#3-30
15.0,31.0,9.0,22.0,9.0,Beehive#3-30
15.0,30.0,9.0,22.0,9.0,Beehive#3-30
14.0,32.0,7.0,24.0,9.0,Beehive#3-30
13.0,32.0,8.0,23.0,7.0,Beehive#3-30
15.0,30.0,9.0,22.0,8.0,Beehive#3-30
15.0,31.0,8.0,23.0,7.0,Beehive#3-30
12.0,31.0,7.0,22.0,7.0,Beehive#3-30
15.0,29.0,9.0,22.0,9.0,Beehive#3-30
15.0,30.0,9.0,23.0,8.0,Beehive#3-30
15.0,29.0,9.0,22.0,9.0,Beehive#3-30
13.0,30.0,9.0,22.0,9.0,Beehive#3-30
14.0,29.0,9.0,21.0,7.0,Beehive#3-30
14.0,29.0,9.0,22.0,9.0,Beehive#3-30
14.0,29.0,9.0,21.0,8.0,Beehive#3-30
15.0,28.0,9.0,21.0,9.0,Beehive#3-30
13.0,30.0,7.0,21.0,7.0,Beehive#3-30
15.0,28.0,8.0,23.0,6.0,Beehive#3-30
14.0,29.0,7.0,23.0,7.0,Beehive#3-30
13.0,28.0,8.0,21.0,7.0,Beehive#3-30
13.0,29.0,8.0,23.0,7.0,Beehive#3-30
15.0,28.0,9.0,20.0,8.0,Beehive#3-30
14.0,29.0,7.0,23.0,6.0,Beehive#3-30
12.0,29.0,7.0,22.0,6.0,Beehive#3-30
12.0,29.0,8.0,22.0,6.0,Beehive#3-30
12.0,29.0,7.0,22.0,8.0,Beehive#3-30
15.0,28.0,9.0,20.0,8.0,Beehive#3-30
12.0,29.0,8.0,23.0,7.0,Beehive#3-30
12.0,29.0,7.0,21.0,7.0,Beehive#3-30
12.0,29.0,7.0,22.0,7.0,Beehive#3-30
12.0,29.0,7.0,21.0,6.0,Beehive#3-30
13.0,27.0,8.0,21.0,6.0,Beehive#3-30
12.0,27.0,6.0,22.0,8.0,Beehive#3-30
13.0,26.0,7.0,21.0,7.0,Beehive#3-30
12.0,27.0,8.0,21.0,8.0,Beehive#3-30
12.0,27.0,9.0,20.0,9.0,Beehive#3-30
14.0,27.0,7.0,20.0,7.0,Beehive#3-30
13.0,26.0,9.0,20.0,7.0,Beehive#3-30
13.0,26.0,8.0,21.0,6.0,Beehive#3-30
12.0,27.0,7.0,21.0,7.0,Beehive#3-30
13.0,25.0,9.0,20.0,7.0,Beehive#3-30
13.0,25.0,7.0,20.0,7.0,Beehive#3-30
12.0,27.0,7.0,21.0,6.0,Beehive#3-30
12.0,,,,,Beehive#3-30
TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
12.0,38.0,11.0,23.0,8.0,BeehiveTwo#1-30
13.0,37.0,12.0,23.0,9.0,BeehiveTwo#1-30
13.0,38.0,12.0,24.0,9.0,BeehiveTwo#1-30
12.0,39.0,11.0,22.0,9.0,BeehiveTwo#1-30
13.0,37.0,12.0,23.0,8.0,BeehiveTwo#1-30
13.0,36.0,12.0,23.0,8.0,BeehiveTwo#1-30
13.0,36.0,11.0,23.0,8.0,BeehiveTwo#1-30
13.0,38.0,12.0,24.0,9.0,BeehiveTwo#1-30
13.0,37.0,10.0,23.0,9.0,BeehiveTwo#1-30
12.0,37.0,10.0,24.0,9.0,BeehiveTwo#1-30
12.0,37.0,11.0,22.0,9.0,BeehiveTwo#1-30
14.0,36.0,10.0,24.0,7.0,BeehiveTwo#1-30
13.0,36.0,11.0,22.0,8.0,BeehiveTwo#1-30
12.0,36.0,11.0,22.0,8.0,BeehiveTwo#1-30
13.0,36.0,11.0,22.0,8.0,BeehiveTwo#1-30
13.0,36.0,11.0,23.0,8.0,BeehiveTwo#1-30
13.0,36.0,11.0,23.0,7.0,BeehiveTwo#1-30
13.0,35.0,11.0,22.0,9.0,BeehiveTwo#1-30
12.0,37.0,11.0,21.0,9.0,BeehiveTwo#1-30
13.0,35.0,10.0,22.0,8.0,BeehiveTwo#1-30
13.0,35.0,10.0,22.0,8.0,BeehiveTwo#1-30
12.0,35.0,11.0,22.0,8.0,BeehiveTwo#1-30
12.0,35.0,11.0,21.0,9.0,BeehiveTwo#1-30
13.0,35.0,10.0,21.0,9.0,BeehiveTwo#1-30
13.0,34.0,11.0,22.0,7.0,BeehiveTwo#1-30
13.0,32.0,11.0,22.0,8.0,BeehiveTwo#1-30
12.0,34.0,11.0,20.0,8.0,BeehiveTwo#1-30
12.0,32.0,11.0,21.0,7.0,BeehiveTwo#1-30
13.0,32.0,11.0,22.0,8.0,BeehiveTwo#1-30
13.0,33.0,10.0,21.0,7.0,BeehiveTwo#1-30
12.0,33.0,10.0,21.0,7.0,BeehiveTwo#1-30
13.0,32.0,10.0,20.0,9.0,BeehiveTwo#1-30
13.0,32.0,9.0,21.0,7.0,BeehiveTwo#1-30
13.0,32.0,11.0,21.0,8.0,BeehiveTwo#1-30
13.0,30.0,11.0,21.0,7.0,BeehiveTwo#1-30
12.0,30.0,11.0,20.0,9.0,BeehiveTwo#1-30
12.0,31.0,10.0,20.0,8.0,BeehiveTwo#1-30
13.0,30.0,11.0,21.0,7.0,BeehiveTwo#1-30
13.0,31.0,10.0,21.0,7.0,BeehiveTwo#1-30
12.0,28.0,10.0,20.0,8.0,BeehiveTwo#1-30
11.0,28.0,10.0,21.0,7.0,BeehiveTwo#1-30
11.0,28.0,10.0,20.0,8.0,BeehiveTwo#1-30
12.0,29.0,10.0,20.0,8.0,BeehiveTwo#1-30
12.0,29.0,11.0,20.0,8.0,BeehiveTwo#1-30
11.0,28.0,11.0,20.0,8.0,BeehiveTwo#1-30
11.0,28.0,11.0,19.0,6.0,BeehiveTwo#1-30
12.0,29.0,9.0,21.0,7.0,BeehiveTwo#1-30
11.0,29.0,8.0,20.0,7.0,BeehiveTwo#1-30
11.0,28.0,9.0,21.0,6.0,BeehiveTwo#1-30
11.0,29.0,10.0,20.0,8.0,BeehiveTwo#1-30
11.0,28.0,10.0,20.0,8.0,BeehiveTwo#1-30
12.0,27.0,8.0,20.0,6.0,BeehiveTwo#1-30
10.0,27.0,10.0,20.0,8.0,BeehiveTwo#1-30
11.0,27.0,10.0,20.0,7.0,BeehiveTwo#1-30
11.0,27.0,9.0,19.0,6.0,BeehiveTwo#1-30
11.0,28.0,11.0,18.0,8.0,BeehiveTwo#1-30
10.0,27.0,8.0,20.0,7.0,BeehiveTwo#1-30
11.0,26.0,11.0,19.0,6.0,BeehiveTwo#1-30
11.0,27.0,11.0,18.0,8.0,BeehiveTwo#1-30
11.0,,,,,BeehiveTwo#1-30
TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
14.0,37.0,11.0,24.0,9.0,BeehiveTwo#2-30
14.0,37.0,11.0,24.0,10.0,BeehiveTwo#2-30
14.0,37.0,11.0,24.0,11.0,BeehiveTwo#2-30
13.0,37.0,10.0,26.0,10.0,BeehiveTwo#2-30
14.0,37.0,11.0,24.0,9.0,BeehiveTwo#2-30
15.0,36.0,11.0,24.0,9.0,BeehiveTwo#2-30
14.0,37.0,10.0,24.0,11.0,BeehiveTwo#2-30
14.0,37.0,10.0,24.0,11.0,BeehiveTwo#2-30
16.0,36.0,9.0,25.0,9.0,BeehiveTwo#2-30
14.0,37.0,11.0,24.0,10.0,BeehiveTwo#2-30
