TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
17.0,39.0,25.0,11.0,84.0,Breath
17.0,38.0,24.0,10.0,79.0,Breath
17.0,37.0,23.0,10.0,74.0,Breath
17.0,36.0,23.0,10.0,70.0,Breath
16.0,36.0,22.0,10.0,66.0,Breath
16.0,35.0,21.0,10.0,63.0,Breath
16.0,34.0,20.0,13.0,63.0,Breath
16.0,34.0,20.0,19.0,75.0,Breath
16.0,34.0,20.0,22.0,87.0,Breath
16.0,34.0,20.0,21.0,93.0,Breath
16.0,35.0,20.0,17.0,94.0,Breath
16.0,35.0,20.0,15.0,89.0,Breath
16.0,35.0,19.0,13.0,83.0,Breath
16.0,34.0,19.0,12.0,78.0,Breath
16.0,34.0,19.0,13.0,76.0,Breath
16.0,33.0,19.0,17.0,88.0,Breath
16.0,33.0,19.0,19.0,101.0,Breath
16.0,32.0,19.0,20.0,106.0,Breath
16.0,32.0,18.0,20.0,105.0,Breath
16.0,31.0,18.0,16.0,98.0,Breath
16.0,30.0,17.0,15.0,91.0,Breath
16.0,30.0,17.0,14.0,85.0,Breath
15.0,29.0,17.0,20.0,86.0,Breath
15.0,29.0,17.0,25.0,92.0,Breath
15.0,29.0,17.0,29.0,97.0,Breath
15.0,29.0,16.0,32.0,100.0,Breath
15.0,28.0,16.0,27.0,99.0,Breath
15.0,28.0,16.0,21.0,94.0,Breath
15.0,28.0,16.0,18.0,87.0,Breath
15.0,28.0,15.0,16.0,81.0,Breath
15.0,27.0,15.0,15.0,76.0,Breath
15.0,27.0,15.0,15.0,72.0,Breath
15.0,27.0,16.0,16.0,72.0,Breath
15.0,31.0,18.0,23.0,80.0,Breath
15.0,34.0,20.0,27.0,91.0,Breath
15.0,35.0,21.0,27.0,99.0,Breath
16.0,37.0,22.0,22.0,99.0,Breath
16.0,38.0,23.0,19.0,96.0,Breath
16.0,40.0,24.0,18.0,91.0,Breath
16.0,42.0,25.0,16.0,87.0,Breath
16.0,45.0,26.0,16.0,82.0,Breath
17.0,46.0,26.0,16.0,80.0,Breath
17.0,48.0,28.0,19.0,83.0,Breath
17.0,52.0,29.0,23.0,95.0,Breath
18.0,53.0,30.0,26.0,107.0,Breath
18.0,54.0,30.0,26.0,115.0,Breath
18.0,54.0,30.0,26.0,119.0,Breath
18.0,55.0,30.0,23.0,116.0,Breath
18.0,56.0,31.0,19.0,110.0,Breath
18.0,56.0,31.0,17.0,103.0,Breath
18.0,55.0,30.0,16.0,96.0,Breath
18.0,54.0,29.0,19.0,95.0,Breath
18.0,53.0,29.0,24.0,103.0,Breath
18.0,52.0,28.0,28.0,111.0,Breath
18.0,51.0,28.0,29.0,116.0,Breath
19.0,49.0,27.0,27.0,119.0,Breath
20.0,49.0,27.0,22.0,120.0,Breath
20.0,49.0,26.0,19.0,116.0,Breath
21.0,48.0,26.0,17.0,108.0,Breath
21.0,48.0,25.0,15.0,99.0,Breath
21.0,47.0,25.0,14.0,92.0,Breath
21.0,46.0,24.0,15.0,87.0,Breath
20.0,46.0,24.0,19.0,92.0,Breath
20.0,46.0,24.0,22.0,101.0,Breath
20.0,46.0,24.0,25.0,108.0,Breath
20.0,47.0,24.0,24.0,112.0,Breath
21.0,47.0,24.0,21.0,115.0,Breath
21.0,48.0,24.0,18.0,110.0,Breath
21.0,47.0,24.0,16.0,101.0,Breath
21.0,46.0,23.0,15.0,93.0,Breath
20.0,45.0,23.0,14.0,86.0,Breath
20.0,44.0,22.0,13.0,81.0,Breath
